bioguide,hr1370-115,s756-115,PN1095,PN48,PN44,PN42,PN43,PN40,PN41,hjres36-115,hjres66-115,PN696,PN1761,s2372-115,hr601-115,hr244-115,sconres3-115,hjres37-115,hr695-115,hjres44-115,PN50,PN55,PN54,hjres43-115,sjres42-115,hjres58-115,hjres38-115,hjres111-115,hr1892-115,hr-1-final1-115,hjres42-115,hjres57-115,hr-senate-repeal1628-115,s109-116,PN29,PN25,PN26,nuclear0-115,sjres2-116,PN1857,s84-115,hr-conference2-115,s722-115,sjres52-115,PN39,PN37,PN36,PN35,PN34,PN33,PN32,PN31,PN30,hjres41-115,hr-1-senate1-115,hr-senate-amendment-5268-116,hrsamd1958-115,hr195a-115,PN2179,hrsamd1959-115,hr2266-115,sjres63-115,PN1371,sjres34-115,PN88,hjres40-115,hjres83-115,hr2-115,hconres71-115,sjres57-115,hr-delay1628-115,hr3-115,hjres123-115,sjres64-115,PN90,s2155-115,hr-senate-amendment-6268-116,PN2259,hr1625-115,hr3364-115,s2311-115,hr195-115,hr-tariffs5515-115,hr-mtp1628-115,hjres67-115,hr6-115,sjres54-115,s139-115,bioguide_id,party,full_name,state,gender
L000174,1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,L000174,Democrat,Patrick J. Leahy,VT,M
B001288,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,B001288,Democrat,Cory A. Booker,NJ,M
S001184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,S001184,Republican,Tim Scott,SC,M
M001176,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,M001176,Democrat,Jeff Merkley,OR,M
T000476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,1,1,1,1,1,1,1,0,1,T000476,Republican,Thom Tillis,NC,M
S001181,1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,S001181,Democrat,Jeanne Shaheen,NH,F
V000128,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,V000128,Democrat,Chris Van Hollen,MD,M
C001047,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,C001047,Republican,Shelley Moore Capito,WV,F
K000367,-1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,K000367,Democrat,Amy Klobuchar,MN,F
G000359,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,1,0,1,G000359,Republican,Lindsey Graham,SC,M
